Country Name;Indicator Name;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
India;GDP per capita (current US$);806753280628799;102833477107667;998522339019268;110196084002239;135756371913262;145810352686177;144387952939042;14496059123387;157388149211052;160560543109026;172926802051544
Not classified;GDP per capita (current US$);;;;;;;;;;;
Ireland;GDP per capita (current US$);543064293166897;613597413812502;612621005610307;521051524837739;487151768553933;518489097301621;489178975571766;515901884453629;55492982676213;619954227789928;631970823744196
Iran;IRN;324605102938326;377435784149991;490466625185167;563044299454113;567788852169889;660321226914401;781805723219579;792764754158673;611144060803083;56086025115113;491608593793143
Iraq;GDP per capita (current US$);237321478464391;318294798201412;463661097758271;385394093481185;465728042580536;604549555071698;68360273134631;707655460775667;68188046210291;498980307473071;477672649939342
Iceland;GDP per capita (current US$);566735930446545;69054270801496;564097734569066;413334198670842;430249238377351;475168757402109;459100209039774;495222369665887;542420546770039;524285957626253;617579493064483
Israel;GDP per capita (current US$);218373784883786;249243309496648;29567803875678;27715636808319;306935930786871;336692464692884;325112378524925;363094688256886;376788897743182;357767951710172;373216240366845
Italy;GDP per capita (current US$);335016581673044;378226652377427;407783427367209;370797586704546;360005201179254;385990622070322;350535262442572;355499746972954;355184152916749;302302263021296;30936125444977
Jamaica;GDP per capita (current US$);432104332724263;463394438578828;491771839830304;431623105265842;470405445468166;5111471413428;520985193130013;498917139091154;483379031821405;490750371974316;484333847410864
Jordan;GDP per capita (current US$);254826865824395;277374024212779;339815172154303;350400246037434;369011326778672;381627925808967;387733934463778;399802747275799;407276547535039;410544896083238;410373359991068
Japan;GDP per capita (current US$);35433988963743;352752284312667;393392975731826;408551756354596;445076763859172;481679972684965;486034766497749;404544474578903;381094121125573;345244698609337;387943309405515
Kazakhstan;GDP per capita (current US$);529157565018652;677141479681885;851356464506814;716522317483703;907048825285747;116340019047654;123867000029472;138906317716835;128072606866152;105107718884148;771484184376024
Kenya;GDP per capita (current US$);685954532240082;825666597622313;902070025813736;905131786128485;951687961116879;97163332904823;113687140571776;121038801408195;131580453537238;13368833490475;14105275710827
Kyrgyz Republic;GDP per capita (current US$);543110702403072;721768690838857;966393627185372;871224389337854;880037775119109;11238831680627;117797473487848;128243716202467;127976978265986;112108283510739;112066651300848
