Country Name;Indicator Name;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Montenegro;Population, total;615025;615875;616969;618294;619428;620079;620601;621207;621810;622159;622303
Mongolia;Population, total;2558856;2593820;2631898;2673796;2719896;2770362;2824699;2881792;2940108;2998439;3056359
Northern Mariana Islands;Population, total;55882;55219;54625;54193;53971;54012;54311;54784;55305;55780;56188
Mozambique;Population, total;21080110;21673316;22276596;22894710;23531574;24187487;24862648;25560725;26286163;27042002;27829942
Mauritania;Population, total;3111906;3202517;3296238;3393409;3494195;3598648;3706554;3817494;3930896;4046301;4163534
Mauritius;Population, total;1233996;1239630;1244121;1247429;1250400;1252404;1255882;1258653;1260934;1262605;1263473
Malawi;Population, total;12973699;13341806;13727890;14128155;14539612;14962112;15396005;15839269;16289540;16745303;17205289
Malaysia;Population, total;26201961;26720370;27236006;27735040;28208035;28650955;29068159;29468872;29866559;30270962;30684804
North America;Population, total;331015609;334185120;337406357;340466060;343396098;345983901;348653238;351205682;353888995;356510820;359245384
Namibia;Population, total;1971317;2006514;2043394;2081044;2118874;2156701;2194784;2233510;2273430;2314904;2358041
New Caledonia;Population, total;235750;239250;242750;245950;249750;254350;259000;263650;268050;272400;276550
Niger;Population, total;14143971;14685399;15250908;15843133;16464025;17114761;17795191;18504255;19240157;20001663;20788838
Nigeria;Population, total;142538308;146339977;150269623;154324933;158503197;162805071;167228767;171765769;176404902;181137448;185960289
Nicaragua;Population, total;5513763;5590055;5667432;5745526;5824065;5903039;5982526;6062454;6142733;6223240;6303974
Netherlands;Population, total;16346101;16381696;16445593;16530388;16615394;16693074;16754962;16804432;16865008;16939923;17030314
Norway;Population, total;4660677;4709153;4768212;4828726;4889252;4953088;5018573;5079623;5137232;5188607;5234519
Nepal;Population, total;26066693;26382581;26666576;26883535;27013212;27041437;26989862;26917906;26906926;27015031;27261131
Nauru;Population, total;9828;9842;9891;9939;10005;10057;10279;10821;11853;12475;13049
New Zealand;Population, total;4184600;4223800;4259800;4302600;4350700;4384000;4408100;4442100;4509700;4595700;4693200
OECD members;Population, total;1207587551;1216472640;1225804612;1234364086;1242309585;1248424526;1256042703;1263987635;1272282569;1280466626;1288747101
Oman;Population, total;2580758;2657158;2750963;2876186;3041434;3251108;3498029;3764805;4027260;4267348;4479219
Other small states;Population, total;23486218;24104670;24762406;25417830;26050942;26647962;27227319;27794595;28364410;28948869;29542879
Pakistan;Population, total;164022627;167808105;171648986;175525609;179424641;183340592;187281475;191262919;195306825;199426964;203627284
Panama;Population, total;3391666;3453675;3516204;3579215;3642687;3706483;3770624;3835437;3901315;3968487;4037078
Peru;Population, total;28102056;28333052;28562317;28792655;29027674;29264318;29506788;29773987;30090359;30470734;30926032
Philippines;Population, total;87888675;89405482;90901965;92414158;93966780;95570047;97212638;98871552;100513138;102113212;103663927
Palau;Population, total;19540;19158;18704;18285;17955;17745;17640;17606;17626;17665;17725
Papua New Guinea;Population, total;6646895;6808514;6976201;7144776;7310507;7472200;7631002;7788379;7946731;8107775;8271760
Poland;Population, total;38141267;38120560;38125759;38151603;38042794;38063255;38063164;38040196;38011735;37986412;37970087
Pre-demographic dividend;Population, total;653695022;672318833;691447610;711257522;731868772;753326798;775573001;798495530;821931240;845759344;869943914
Puerto Rico;Population, total;3805214;3782995;3760866;3740410;3721525;3678732;3634488;3593077;3534874;3473166;3406495
Portugal;Population, total;10522288;10542964;10558177;10568247;10573100;10557560;10514844;10457295;10401062;10358076;10325452
Paraguay;Population, total;5913209;5998427;6081296;6163972;6248020;6333976;6421512;6510276;6599526;6688746;6777872
West Bank and Gaza;Population, total;3406334;3494496;3591977;3689099;3786161;3882986;3979998;4076708;4173398;4270092;4367088
Pacific island small states;Population, total;2100869;2128664;2157454;2186314;2214519;2241798;2268708;2296101;2325136;2355672;2388307
Post-demographic dividend;Population, total;1052054803;1057981926;1064394167;1069878383;1074869481;1077838624;1082370705;1087128029;1092096206;1097025299;1101992071
French Polynesia;Population, total;261010;262721;264061;265254;266455;267698;268998;270328;271705;273124;274575
Qatar;Population, total;1022711;1218434;1436665;1654950;1856327;2035871;2196074;2336574;2459198;2565710;2654374
Romania;Population, total;21193760;20882982;20537875;20367487;20246871;20147528;20058035;19983693;19908979;19815481;19702332
Russian Federation;Population, total;143049528;142805088;142742350;142785342;142849449;142960868;143201676;143506911;143819666;144096870;144342396
Rwanda;Population, total;9043337;9273757;9524534;9782770;10039338;10293331;10549678;10811543;11083635;11369071;11668818
South Asia;Population, total;1543610696;1568003159;1592010819;1615610198;1638792934;1661534412;1683747130;1705772050;1727640967;1749417068;1771167194
Saudi Arabia;Population, total;24498310;25184597;25888541;26630303;27421461;28267685;29155187;30052518;30916994;31717667;32442572
Sudan;Population, total;31661823;32360621;33060837;33783788;34545013;35349681;36193783;37072550;37977655;38902950;39847440
Senegal;Population, total;11382268;11687080;12004701;12335084;12678148;13033809;13401991;13782420;14174731;14578459;14993528
Singapore;Population, total;4401365;4588599;4839396;4987573;5076732;5183688;5312437;5399162;5469724;5535002;5607283
Solomon Islands;Population, total;481078;492132;503360;515181;527861;541521;556064;571335;587079;603118;619437
Sierra Leone;Population, total;5829237;5989633;6133603;6272734;6415634;6563240;6712581;6863980;7017144;7171914;7328838
El Salvador;Population, total;6079399;6105810;6131764;6157686;6183875;6210568;6237923;6266070;6295128;6325124;6356143
San Marino;Population, total;29700;30063;30434;30816;31229;31661;32105;32553;32948;33272;33504
Somalia;Population, total;10763905;11080121;11397188;11717692;12043883;12376302;12715510;13063706;13423576;13797201;14185613
Serbia;Population, total;7411569;7381579;7350222;7320807;7291436;7234099;7199077;7164132;7130576;7095383;7058322
Sub-Saharan Africa (excluding high income);Population, total;779482220;800823501;822858501;845567916;868935336;892958731;917638670;942951121;968868428;995365059;1022431864
South Sudan;Population, total;7907406;8315139;8736939;9142259;9508364;9830698;10113647;10355036;10554883;10715658;10832512
Sub-Saharan Africa;Population, total;779566820;800908534;822945457;845655214;869025106;893046172;917726973;943041070;968959787;995458478;1022526541
Small states;Population, total;32375210;33066727;33798838;34529596;35238667;35912147;36568692;37214028;37862981;38526753;39200572
Sao Tome and Principe;Population, total;161681;166300;171120;175876;180371;184524;188404;192087;195727;199432;203227
Suriname;Population, total;505295;511181;517123;523111;529131;535179;541245;547291;553273;559143;564888
Slovak Republic;Population, total;5373054;5374622;5379233;5386406;5391428;5398384;5407579;5413393;5418649;5423801;5430798
Slovenia;Population, total;2006868;2018122;2021316;2039669;2048583;2052843;2057159;2059953;2061980;2063531;2065042
Sweden;Population, total;9080505;9148092;9219637;9298515;9378126;9449213;9519374;9600379;9696110;9799186;9923085
Eswatini;Population, total;1036092;1042652;1049945;1057467;1064837;1072032;1079288;1086839;1095021;1104044;1113984
Sint Maarten (Dutch part);Population, total;33441;33811;33964;34238;34056;33435;34640;36607;37685;38825;39969
Seychelles;Population, total;84600;85033;86956;87298;89770;87441;88303;89949;91359;93419;94677
Syrian Arab Republic;Population, total;19059258;19878254;20664038;21205873;21362529;21082966;20442541;19584274;18715672;17997408;17453933
Turks and Caicos Islands;Population, total;29391;30385;31202;31934;32660;33377;34066;34731;35369;35981;36559
Chad;Population, total;10457124;10818024;11183588;11560147;11952136;12360989;12784750;13220424;13663559;14110975;14561666
East Asia & Pacific (IDA & IBRD countries);Population, total;1885806859;1899800530;1913718210;1927560609;1941377349;1955334267;1969562739;1983964453;1998513398;2012980531;2027771091
Europe & Central Asia (IDA & IBRD countries);Population, total;435669295;436349814;437427283;439200178;441121359;443356614;445596591;448074081;450528180;453034345;455505650
Togo;Population, total;5762880;5920359;6083420;6250835;6421679;6595943;6773807;6954721;7137997;7323158;7509952
Thailand;Population, total;65812536;66182067;66530984;66866839;67195028;67518382;67835957;68144501;68438730;68714511;68971331
Tajikistan;Population, total;6922587;7062672;7209930;7364753;7527394;7697510;7874835;8059769;8252833;8454028;8663579
Turkmenistan;Population, total;4810109;4870141;4935767;5007954;5087213;5174085;5267900;5366375;5466328;5565287;5662372
Latin America & the Caribbean (IDA & IBRD countries);Population, total;547323121;554133291;560891799;567605672;574171371;580856609;587491182;594063071;600555906;606956985;613258172
Timor-Leste;Population, total;1016432;1036392;1055431;1074277;1093523;1113151;1132994;1153295;1174331;1196302;1219288
Middle East & North Africa (IDA & IBRD countries);Population, total;306703078;312078851;317576790;323211885;328991663;334931821;341024011;347222485;353463942;359705458;365909373
Tonga;Population, total;101706;102581;103379;103890;103986;103562;102737;101768;101028;100781;101133
South Asia (IDA & IBRD);Population, total;1543610696;1568003159;1592010819;1615610198;1638792934;1661534412;1683747130;1705772050;1727640967;1749417068;1771167194
Sub-Saharan Africa (IDA & IBRD countries);Population, total;779566820;800908534;822945457;845655214;869025106;893046172;917726973;943041070;968959787;995458478;1022526541
Trinidad and Tobago;Population, total;1302561;1308451;1314443;1320930;1328147;1336178;1344817;1353700;1362342;1370328;1377564
Tunisia;Population, total;10201214;10304726;10414433;10525694;10635244;10741880;10847002;10952951;11063201;11179949;11303946
Turkey;Population, total;68756810;69581848;70418604;71321399;72326988;73443863;74653016;75928564;77231907;78529409;79821724
Tuvalu;Population, total;10120;10221;10314;10424;10530;10633;10739;10857;10972;11099;11225
Tanzania;Population, total;39548663;40681414;41853944;43073834;44346525;45673338;47052481;48482266;49959822;51482633;53050790
Uganda;Population, total;28571475;29486338;30431736;31411096;32428167;33476919;34559168;35695246;36912148;38225453;39647506
Ukraine;Population, total;46787750;46509350;46258200;46053300;45870700;45706100;45593300;45489600;45271947;45154029;45004645
Upper middle income;Population, total;2428657785;2445871770;2463294188;2481349075;2499410493;2518197739;2537625754;2557649560;2577855859;2597757681;2617804661
Uruguay;Population, total;3325401;3331749;3340221;3349676;3359275;3368934;3378974;3389439;3400434;3412009;3424132
United States;Population, total;298379912;301231207;304093966;306771529;309326085;311580009;313874218;316057727;318386421;320742673;323071342
Uzbekistan;Population, total;26488250;26868000;27302800;27767400;28562400;29339400;29774500;30243200;30757700;31298900;31847900
St. Vincent and the Grenadines;Population, total;108603;108518;108393;108287;108255;108316;108435;108622;108861;109148;109459
Venezuela;VEN;26432447;26850194;27247610;27635832;28031009;28439940;28888369;29362449;29783571;30045134;30081829
British Virgin Islands;Population, total;24023;25047;26097;27039;27794;28319;28650;28847;28989;29152;29355
Virgin Islands (U.S.);Population, total;108371;108339;108399;108405;108358;108292;108191;108044;107884;107710;107510
Vietnam;Population, total;84617540;85419591;86243413;87092252;87967651;88871561;89802487;90753472;91714595;92677076;93638724
